A1	Codigouf	Codigomunicipio	Nome	A140	A141	A142	A143	A144	A145	A146	A147	A148	A149	A150
2312205	23	12205	SANTA QUITERIA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
2312304	23	12304	SAO BENEDITO	Não	Não sabe informar	Sim	Apenas iniciou o processo	Não	Não	-	-	-	-	Não
2312403	23	12403	SAO GONCALO DO AMARANTE	Sim	Sim	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
2312502	23	12502	SAO JOAO DO JAGUARIBE	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2312601	23	12601	SAO LUIS DO CURU	Não	Não	Não	-	-	Não	-	-	-	-	Não
2312700	23	12700	SENADOR POMPEU	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
2312809	23	12809	SENADOR SA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2312908	23	12908	SOBRAL	Sim	Sim	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
2313005	23	13005	SOLONOPOLE	Não	Não	Não	-	-	Sim	Sim	Não	Não	Sim	Desconhece o que seja Cadastro Ambiental Rural
2313104	23	13104	TABULEIRO DO NORTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2313203	23	13203	TAMBORIL	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2313252	23	13252	TARRAFAS	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2313302	23	13302	TAUA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
2313351	23	13351	TEJUCUOCA	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não possui Fórum	Não	-	-	-	-	Não
2313401	23	13401	TIANGUA	Sim	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Sim	Sim	Sim	Sim	Sim	Sim	Não
2313500	23	13500	TRAIRI	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Sim	Não	-	-	-	-	Não
2313559	23	13559	TURURU	Não	Não	Não	-	-	Não	-	-	-	-	Não
2313609	23	13609	UBAJARA	Sim	Sim	Sim	Apenas iniciou o processo	Não	Não	-	-	-	-	Não
2313708	23	13708	UMARI	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Não	Não	-	-	-	-	Sim
2313757	23	13757	UMIRIM	Sim	Não	Não	-	-	Não	-	-	-	-	Não
2313807	23	13807	URUBURETAMA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2313906	23	13906	URUOCA	Não	Não	Sim	Definição de diagnóstico e metodologia	Sim	Não	-	-	-	-	Sim
2313955	23	13955	VARJOTA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2314003	23	14003	VARZEA ALEGRE	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Sim	Não	-	-	-	-	Não
2314102	23	14102	VICOSA DO CEARA	Não	Não sabe informar	Sim	Apenas iniciou o processo	Não	Não	-	-	-	-	Não
2400109	24	109	ACARI	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
2400208	24	208	ACU	Sim	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Sim
2400307	24	307	AFONSO BEZERRA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2400406	24	406	AGUA NOVA	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
2400505	24	505	ALEXANDRIA	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
2400604	24	604	ALMINO AFONSO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2400703	24	703	ALTO DO RODRIGUES	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Sim	Não	-	-	-	-	Não
2400802	24	802	ANGICOS	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2400901	24	901	ANTONIO MARTINS	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2401008	24	1008	APODI	Sim	Não	Não	-	-	Não	-	-	-	-	Não
2401107	24	1107	AREIA BRANCA	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Sim	Não	-	-	-	-	Sim
2401206	24	1206	ARES	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2401305	24	1305	AUGUSTO SEVERO	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
2401404	24	1404	BAIA FORMOSA	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Não
2401453	24	1453	BARAUNA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2401503	24	1503	BARCELONA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2401602	24	1602	BENTO FERNANDES	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
2401651	24	1651	BODO	Sim	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Sim
2401701	24	1701	BOM JESUS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2401800	24	1800	BREJINHO	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2401859	24	1859	CAICARA DO NORTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2401909	24	1909	CAICARA DO RIO DO VENTO	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2402006	24	2006	CAICO	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Não
2402105	24	2105	CAMPO REDONDO	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
2402204	24	2204	CANGUARETAMA	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
2402303	24	2303	CARAUBAS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2402402	24	2402	CARNAUBA DOS DANTAS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2402501	24	2501	CARNAUBAIS	Não	Não	Sim	Definição de diagnóstico e metodologia	Sim	Não	-	-	-	-	Não
2402600	24	2600	CEARA-MIRIM	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Sim	Sim	Sim	Sim
2402709	24	2709	CERRO CORA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
2402808	24	2808	CORONEL EZEQUIEL	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2402907	24	2907	CORONEL JOAO PESSOA	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2403004	24	3004	CRUZETA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2403103	24	3103	CURRAIS NOVOS	Sim	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2403202	24	3202	DOUTOR SEVERIANO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2403251	24	3251	PARNAMIRIM	Não	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Sim	Sim	Sim	Sim	Sim	Sim	Não
2403301	24	3301	ENCANTO	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2403400	24	3400	EQUADOR	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Não possui Fórum	Não	-	-	-	-	Não
2403509	24	3509	ESPIRITO SANTO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2403608	24	3608	EXTREMOZ	Sim	Sim	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Sim	Sim	Sim	Não
2403707	24	3707	FELIPE GUERRA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2403756	24	3756	FERNANDO PEDROZA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2403806	24	3806	FLORANIA	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
2403905	24	3905	FRANCISCO DANTAS	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
2404002	24	4002	FRUTUOSO GOMES	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2404101	24	4101	GALINHOS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2404200	24	4200	GOIANINHA	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Não	Não
2404309	24	4309	GOVERNADOR DIX-SEPT ROSADO	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Sim	Não	-	-	-	-	Não
2404408	24	4408	GROSSOS	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2404507	24	4507	GUAMARE	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
2404606	24	4606	IELMO MARINHO	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
2404705	24	4705	IPANGUACU	Sim	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Não	Não	-	-	-	-	Não
2404804	24	4804	IPUEIRA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2404853	24	4853	ITAJA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2404903	24	4903	ITAU	Não	Não	Não	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
2405009	24	5009	JACANA	Não	Não	Não	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
2405108	24	5108	JANDAIRA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2405207	24	5207	JANDUIS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2405306	24	5306	JANUARIO CICCO	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2405405	24	5405	JAPI	Não	Não	Não	-	-	Não	-	-	-	-	Não
2405504	24	5504	JARDIM DE ANGICOS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2405603	24	5603	JARDIM DE PIRANHAS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2405702	24	5702	JARDIM DO SERIDO	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2405801	24	5801	JOAO CAMARA	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Não
2405900	24	5900	JOAO DIAS	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
2406007	24	6007	JOSE DA PENHA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2406106	24	6106	JUCURUTU	Não	Não	Não	-	-	Não	-	-	-	-	Não
2406155	24	6155	JUNDIA	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2406205	24	6205	LAGOA D'ANTA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2406304	24	6304	LAGOA DE PEDRAS	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2406403	24	6403	LAGOA DE VELHOS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2406502	24	6502	LAGOA NOVA	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
2406601	24	6601	LAGOA SALGADA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2406700	24	6700	LAJES	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Sim
2406809	24	6809	LAJES PINTADAS	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2406908	24	6908	LUCRECIA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Sim	Sim	Sim	Sim	Sim	Sim
2407005	24	7005	LUIS GOMES	Não	Não	Não	-	-	Não	-	-	-	-	Não
2407104	24	7104	MACAIBA	Sim	Sim	Não	-	-	Não	-	-	-	-	Não
2407203	24	7203	MACAU	Não	Não	Não	-	-	Não	-	-	-	-	Não
2407252	24	7252	MAJOR SALES	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
2407302	24	7302	MARCELINO VIEIRA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2407401	24	7401	MARTINS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2407500	24	7500	MAXARANGUAPE	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Não	Não	-	-	-	-	Não
2407609	24	7609	MESSIAS TARGINO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2407708	24	7708	MONTANHAS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2407807	24	7807	MONTE ALEGRE	Sim	Sim	Não	-	-	Sim	Sim	Sim	Não	Não	Não
2407906	24	7906	MONTE DAS GAMELEIRAS	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2408003	24	8003	MOSSORO	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Sim	Sim	Sim	Sim	Sim	Não
2408102	24	8102	NATAL	Sim	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Sim	Sim	Sim	Sim	Sim	Não
2408201	24	8201	NISIA FLORESTA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2408300	24	8300	NOVA CRUZ	Não	Não	Não	-	-	Não	-	-	-	-	Não
2408409	24	8409	OLHO-D'AGUA DO BORGES	Não	Não	Não	-	-	Não	-	-	-	-	Não
2408508	24	8508	OURO BRANCO	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2408607	24	8607	PARANA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2408706	24	8706	PARAU	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
2408805	24	8805	PARAZINHO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2408904	24	8904	PARELHAS	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Sim
2408953	24	8953	RIO DO FOGO	Sim	Sim	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
2409100	24	9100	PASSA E FICA	Não	Não	Não	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
2409209	24	9209	PASSAGEM	Não	Não	Não	-	-	Não	-	-	-	-	Não
2409308	24	9308	PATU	Não	Não	Não	-	-	Não	-	-	-	-	Não
2409332	24	9332	SANTA MARIA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2409407	24	9407	PAU DOS FERROS	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
2409506	24	9506	PEDRA GRANDE	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Sim
2409605	24	9605	PEDRA PRETA	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Sim
2409704	24	9704	PEDRO AVELINO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2409803	24	9803	PEDRO VELHO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2409902	24	9902	PENDENCIAS	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
2410009	24	10009	PILOES	Não	Não	Não	-	-	Não	-	-	-	-	Não
2410108	24	10108	POCO BRANCO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2410207	24	10207	PORTALEGRE	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
2410256	24	10256	PORTO DO MANGUE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2410306	24	10306	PRESIDENTE JUSCELINO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2410405	24	10405	PUREZA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2410504	24	10504	RAFAEL FERNANDES	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
2410603	24	10603	RAFAEL GODEIRO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2410702	24	10702	RIACHO DA CRUZ	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
2410801	24	10801	RIACHO DE SANTANA	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
2410900	24	10900	RIACHUELO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2411007	24	11007	RODOLFO FERNANDES	Não	Não	Não	-	-	Não	-	-	-	-	Não
2411056	24	11056	TIBAU	Não	Não	Não	-	-	Não	-	-	-	-	Não
2411106	24	11106	RUY BARBOSA	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2411205	24	11205	SANTA CRUZ	Não	Não	Não	-	-	Não	-	-	-	-	Não
2411403	24	11403	SANTANA DO MATOS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2411429	24	11429	SANTANA DO SERIDO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2411502	24	11502	SANTO ANTONIO	Não	Não	Não	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
2411601	24	11601	SAO BENTO DO NORTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2411700	24	11700	SAO BENTO DO TRAIRI	Não	Não	Não	-	-	Não	-	-	-	-	Não
2411809	24	11809	SAO FERNANDO	Sim	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2411908	24	11908	SAO FRANCISCO DO OESTE	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Desconhece o que seja Cadastro Ambiental Rural
2412005	24	12005	SAO GONCALO DO AMARANTE	Sim	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
2412104	24	12104	SAO JOAO DO SABUGI	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Não
2412203	24	12203	SAO JOSE DE MIPIBU	Não	Não	Sim	Definição de diagnóstico e metodologia	Não	Sim	Não	-	-	-	Não
2412302	24	12302	SAO JOSE DO CAMPESTRE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2412401	24	12401	SAO JOSE DO SERIDO	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Não	-	-	-	Não
2412500	24	12500	SAO MIGUEL	Sim	Não	Não	-	-	Sim	Não	-	-	-	Sim
2412559	24	12559	SAO MIGUEL DO GOSTOSO	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Não possui Fórum	Não	-	-	-	-	Sim
2412609	24	12609	SAO PAULO DO POTENGI	Não	Não	Não	-	-	Não	-	-	-	-	Não
2412708	24	12708	SAO PEDRO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2412807	24	12807	SAO RAFAEL	Não	Não	Não	-	-	Não	-	-	-	-	Não
2412906	24	12906	SAO TOME	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2413003	24	13003	SAO VICENTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2413102	24	13102	SENADOR ELOI DE SOUZA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2413201	24	13201	SENADOR GEORGINO AVELINO	Não	Não sabe informar	Não	-	-	Não	-	-	-	-	Não
2413300	24	13300	SERRA DE SAO BENTO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2413359	24	13359	SERRA DO MEL	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
2413409	24	13409	SERRA NEGRA DO NORTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2413508	24	13508	SERRINHA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2413557	24	13557	SERRINHA DOS PINTOS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2413607	24	13607	SEVERIANO MELO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2413706	24	13706	SITIO NOVO	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2413805	24	13805	TABOLEIRO GRANDE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2413904	24	13904	TAIPU	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2414001	24	14001	TANGARA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2414100	24	14100	TENENTE ANANIAS	Não	Não	Não	-	-	Não	-	-	-	-	Sim
2414159	24	14159	TENENTE LAURENTINO CRUZ	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Não	Não	-	-	-	-	Não
2414209	24	14209	TIBAU DO SUL	Sim	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2414308	24	14308	TIMBAUBA DOS BATISTAS	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
2414407	24	14407	TOUROS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2414456	24	14456	TRIUNFO POTIGUAR	Não	Não	Não	-	-	Não	-	-	-	-	Não
2414506	24	14506	UMARIZAL	Não	Não	Não	-	-	Não	-	-	-	-	Não
2414605	24	14605	UPANEMA	Não	Não	Não	-	-	Sim	Sim	Não	Não	Sim	Sim
2414704	24	14704	VARZEA	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
2414753	24	14753	VENHA-VER	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
2414803	24	14803	VERA CRUZ	Não	Não	Não	-	-	Não	-	-	-	-	Não
2414902	24	14902	VICOSA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2415008	24	15008	VILA FLOR	Não	Não	Não	-	-	Não	-	-	-	-	Não
2500106	25	106	AGUA BRANCA	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2500205	25	205	AGUIAR	Não	Não	Não	-	-	Não	-	-	-	-	Não
2500304	25	304	ALAGOA GRANDE	Não	Não	Sim	Definição de diagnóstico e metodologia	Não possui Fórum	Não	-	-	-	-	Não
2500403	25	403	ALAGOA NOVA	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Não
2500502	25	502	ALAGOINHA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2500536	25	536	ALCANTIL	Não	Não	Sim	Definição de diagnóstico e metodologia	Não	Sim	Sim	Não	Não	Sim	Não
2500577	25	577	ALGODAO DE JANDAIRA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
2500601	25	601	ALHANDRA	Sim	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2500700	25	700	SAO JOAO DO RIO DO PEIXE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2500734	25	734	AMPARO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2500775	25	775	APARECIDA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2500809	25	809	ARACAGI	Não	Não	Não	-	-	Não	-	-	-	-	Não
2500908	25	908	ARARA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2501005	25	1005	ARARUNA	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
2501104	25	1104	AREIA	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não possui Fórum	Não	-	-	-	-	Não
2501153	25	1153	AREIA DE BARAUNAS	Não	Não	Não	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
2501203	25	1203	AREIAL	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
2501302	25	1302	AROEIRAS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2501351	25	1351	ASSUNCAO	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
2501401	25	1401	BAIA DA TRAICAO	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
2501500	25	1500	BANANEIRAS	Não	Não	Não	-	-	Sim	Não	-	-	-	Sim
2501534	25	1534	BARAUNA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2501575	25	1575	BARRA DE SANTANA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2501609	25	1609	BARRA DE SANTA ROSA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2501708	25	1708	BARRA DE SAO MIGUEL	Não	Não	Não	-	-	Não	-	-	-	-	Não
2501807	25	1807	BAYEUX	Sim	Não	Não	-	-	Sim	Não	-	-	-	Não
2501906	25	1906	BELEM	Não	Não	Não	-	-	Não	-	-	-	-	Não
2502003	25	2003	BELEM DO BREJO DO CRUZ	Não	Não	Não	-	-	Não	-	-	-	-	Não
2502052	25	2052	BERNARDINO BATISTA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2502102	25	2102	BOA VENTURA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2502151	25	2151	BOA VISTA	Não	Não	Não	-	-	Sim	Sim	Sim	Não	Não	Não
2502201	25	2201	BOM JESUS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2502300	25	2300	BOM SUCESSO	Não	Não	Sim	Definição de diagnóstico e metodologia	Sim	Não	-	-	-	-	Sim
2502409	25	2409	BONITO DE SANTA FE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2502508	25	2508	BOQUEIRAO	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Não	Sim	Não	-	-	-	Não
2502607	25	2607	IGARACY	Não	Não	Não	-	-	Não	-	-	-	-	Não
2502706	25	2706	BORBOREMA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2502805	25	2805	BREJO DO CRUZ	Não	Não	Não	-	-	Não	-	-	-	-	Não
2502904	25	2904	BREJO DOS SANTOS	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
2503001	25	3001	CAAPORA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2503100	25	3100	CABACEIRAS	Não	Não	Não	-	-	Sim	Sim	Não	Sim	Sim	Não
2503209	25	3209	CABEDELO	Sim	Não	Não	-	-	Não	-	-	-	-	Não
2503308	25	3308	CACHOEIRA DOS INDIOS	Não	Não	Não	-	-	Sim	Sim	Sim	Não	Não	Não
2503407	25	3407	CACIMBA DE AREIA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2503506	25	3506	CACIMBA DE DENTRO	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
2503555	25	3555	CACIMBAS	Não	Não	Não	-	-	Não	-	-	-	-	Não
2503605	25	3605	CAICARA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2503704	25	3704	CAJAZEIRAS	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
2503753	25	3753	CAJAZEIRINHAS	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
2503803	25	3803	CALDAS BRANDAO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2503902	25	3902	CAMALAU	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
2504009	25	4009	CAMPINA GRANDE	Sim	Sim	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Sim	Sim	Sim	Sim	Sim	Sim	Não
2504033	25	4033	CAPIM	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Sim	Sim	Sim	Não
2504074	25	4074	CARAUBAS	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
2504108	25	4108	CARRAPATEIRA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2504157	25	4157	CASSERENGUE	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
2504207	25	4207	CATINGUEIRA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2504306	25	4306	CATOLE DO ROCHA	Não	Não	Não	-	-	Não	-	-	-	-	Não
2504355	25	4355	CATURITE	Não	Não	Não	-	-	Não	-	-	-	-	Não
2504405	25	4405	CONCEICAO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2504504	25	4504	CONDADO	Não	Não	Não	-	-	Não	-	-	-	-	Não
2504603	25	4603	CONDE	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Sim
